"Geslacht";"Leeftijd";"Perioden";"Werkdruk/Erg snel werken (%)";"Werkdruk/Heel veel werk doen (%)";"Werkdruk/Extra hard werken (%)";"Zelfstandigheid in het werk/Zelf beslissen (%)";"Zelfstandigheid in het werk/Werktijden bepalen (%)";"Emotioneel belastend werk/Emotioneel veeleisend werk (%)";"Slachtofferschap op het werk/Pesten/Door klanten (%)";"Slachtofferschap op het werk/Pesten/Door leidinggevenden of collega's (%)";"Burn-out klachten/Burn-out klachten (%)"
"Totaal mannen en vrouwen";"35 tot 45 jaar";"2018";39;51,6;34,3;65,5;26,8;13,8;5,3;8,7;18,5
"Mannen";"35 tot 45 jaar";"2018";38,3;50,3;33,1;70,9;29,3;11,5;5,1;9,4;17,8
"Vrouwen";"35 tot 45 jaar";"2018";39,8;53;35,6;59,8;24,1;16,4;5,4;7,8;19,2
