"Geslacht";"Leeftijd";"Perioden";"Werkdruk/Erg snel werken (%)";"Werkdruk/Heel veel werk doen (%)";"Werkdruk/Extra hard werken (%)";"Zelfstandigheid in het werk/Zelf beslissen (%)";"Zelfstandigheid in het werk/Werktijden bepalen (%)";"Emotioneel belastend werk/Emotioneel veeleisend werk (%)";"Slachtofferschap op het werk/Pesten/Door klanten (%)";"Slachtofferschap op het werk/Pesten/Door leidinggevenden of collega's (%)";"Burn-out klachten/Burn-out klachten (%)"
"Totaal mannen en vrouwen";"15 tot 25 jaar";"2018";34,1;33,6;23,1;34,3;24;7,1;6,7;5,6;13,4
"Mannen";"15 tot 25 jaar";"2018";32,5;31,6;21;38,4;25,6;4,9;5,9;5,9;12,1
"Vrouwen";"15 tot 25 jaar";"2018";35,6;35,5;25,1;30,3;22,4;9,4;7,6;5,3;14,8
