"Geslacht";"Leeftijd";"Perioden";"Werkdruk/Erg snel werken (%)";"Werkdruk/Heel veel werk doen (%)";"Werkdruk/Extra hard werken (%)";"Zelfstandigheid in het werk/Zelf beslissen (%)";"Zelfstandigheid in het werk/Werktijden bepalen (%)";"Emotioneel belastend werk/Emotioneel veeleisend werk (%)";"Slachtofferschap op het werk/Pesten/Door klanten (%)";"Slachtofferschap op het werk/Pesten/Door leidinggevenden of collega's (%)";"Burn-out klachten/Burn-out klachten (%)"
"Totaal mannen en vrouwen";"65 tot 75 jaar";"2018";21,2;25,3;14,3;70,6;40,8;7,3;3,7;4,2;6,3
"Mannen";"65 tot 75 jaar";"2018";17,7;22,1;11,4;71,7;44,8;7;3,7;3,4;5,4
"Vrouwen";"65 tot 75 jaar";"2018";28,7;32,4;20,4;68,4;31,9;8;3,6;5,9;8,3
