"Geslacht";"Leeftijd";"Perioden";"Werkdruk/Erg snel werken (%)";"Werkdruk/Heel veel werk doen (%)";"Werkdruk/Extra hard werken (%)";"Zelfstandigheid in het werk/Zelf beslissen (%)";"Zelfstandigheid in het werk/Werktijden bepalen (%)";"Emotioneel belastend werk/Emotioneel veeleisend werk (%)";"Slachtofferschap op het werk/Pesten/Door klanten (%)";"Slachtofferschap op het werk/Pesten/Door leidinggevenden of collega's (%)";"Burn-out klachten/Burn-out klachten (%)"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"2018";34,6;46,1;28,9;67,7;26,4;13,6;6;7,9;17,4
"Mannen";"55 tot 65 jaar";"2018";32,1;43,6;26,6;73,1;30,7;11,3;5,7;7,9;17,4
"Vrouwen";"55 tot 65 jaar";"2018";37,7;49,3;31,7;60,9;21,1;16,6;6,4;8;17,5
