workoutFreq;year;value
daily;2014;23.3
daily;2015;22.7
daily;2016;23.2
daily;2017;23.3
weekly;2014;18.4
weekly;2015;19.7
weekly;2016;17.7
weekly;2017;18.7
rarely;2014;58.3
rarely;2015;57.7
rarely;2016;59.1
rarely;2017;58.1
